location_x,location_y, heading,speed, accelaration
11986330.7242547907 ,3836667.2989807548, -5.768330, 7.011971 , -9.191851
11986327.0022189189 ,3836621.3127224268, -6.541123, 7.385167 , -10.293295
11986330.0391096640 ,3836623.0302302525, -6.557590, 7.412674 , -10.257827
11986332.5044892132 ,3836622.4947313634, -6.549679, 7.458635 , -10.320004
11986334.8512584511 ,3836621.8419920253, -6.533002, 7.473315 , -10.232548
11986337.1751219165 ,3836621.2072322047, -6.568226, 7.603137 , -10.548358
11986339.5924548935 ,3836620.5879237955, -6.570949, 7.677788 , -10.509071
11986341.9613685943 ,3836619.8985415800, -6.568024, 7.682718 , -10.376995
11986344.3376765773 ,3836619.1958349487, -6.590752, 7.790016 , -10.655941
11986346.7704225499 ,3836618.4831127147, -6.582750, 7.827579 , -10.557258
11986349.1646594312 ,3836617.7257378143, -6.558205, 7.663989 , -10.113182
11986351.5499699339 ,3836616.9881300619, -6.620537, 7.889299 , -10.929255
11986354.0705909040 ,3836616.2729078233, -6.583187, 7.806146 , -10.272678
11986356.4246130176 ,3836615.4552987562, -6.577612, 7.828679 , -10.548142
11986358.8471756019 ,3836614.7011468704, -6.562019, 7.712332 , -10.223413
11986361.2653212231 ,3836613.9668436474, -6.588960, 8.033177 , -11.154415
11986363.7391849197 ,3836613.2562415516, -6.561833, 8.178683 , -10.798338
11986366.1806336567 ,3836612.4890992758, -6.547035, 8.267946 , -10.850901
11986368.7290956862 ,3836611.7563248910, -6.524216, 8.255291 , -10.661610
11986371.3294664342 ,3836611.0514937700, -6.510330, 8.364079 , -10.928769
11986373.9782411624 ,3836610.3968971972, -6.493252, 8.471496 , -10.917093
11986376.6726477928 ,3836609.7718563662, -6.473683, 8.449999 , -10.718739
11986379.4225530662 ,3836609.1828418174, -6.466236, 8.486230 , -10.834948
11986382.2167455740 ,3836608.6408649976, -6.455318, 8.500522 , -10.786849
11986385.0297310818 ,3836608.1187925893, -6.460781, 8.587206 , -10.955551
11986387.8858069889 ,3836607.6204584818, -6.442129, 8.634881 , -10.875189
11986390.7363159824 ,3836607.1095654271, -6.438652, 8.669768 , -10.895382
11986393.6436759867 ,3836606.6406112025, -6.437724, 8.682046 , -10.865814
11986396.5797128230 ,3836606.1797262426, -6.429193, 8.652611 , -10.777206
11986399.5185811464 ,3836605.7217165912, -6.431401, 8.651720 , -10.823432
11986402.4730507713 ,3836605.2858609674, -6.427424, 8.592780 , -10.689315
11986405.4192235917 ,3836604.8462443654, -6.442473, 8.592710 , -10.818402
11986408.3764258008 ,3836604.4160823161, -6.436145, 8.580154 , -10.768637
11986411.2928965986 ,3836603.9499139735, -6.442323, 8.616673 , -10.872199
11986414.2212690562 ,3836603.4975688499, -6.443822, 8.632393 , -10.832443
11986417.1495587490 ,3836603.0285401633, -6.450684, 8.641765 , -10.846880
11986420.0916184988 ,3836602.5521239480, -6.446756, 8.645881 , -10.845043
11986423.0208719075 ,3836602.0579553917, -6.451317, 8.675345 , -10.903690
11986425.9655399770 ,3836601.5713734841, -6.449569, 8.686960 , -10.872292
11986428.9093025308 ,3836601.0724235098, -6.453783, 8.699493 , -10.892742
11986431.8683405928 ,3836600.5752454023, -6.449401, 8.687795 , -10.845711
11986434.8199617490 ,3836600.0674329330, -6.454439, 8.667561 , -10.821239
11986437.7846920174 ,3836599.5693765366, -6.461314, 8.723159 , -10.986897
11986440.7442715876 ,3836599.0583154256, -6.473897, 8.799811 , -11.069751
11986443.7222271189 ,3836598.5233597918, -6.472256, 8.895051 , -11.131720
11986446.6998952068 ,3836597.9506367939, -6.480814, 8.958377 , -11.145098
11986449.7278277725 ,3836597.3710568137, -6.485316, 9.014072 , -11.158581
11986452.7769862395 ,3836596.7619348657, -6.476120, 8.948752 , -10.922796
11986455.8326505069 ,3836596.1365797874, -6.480876, 8.891770 , -10.929174
11986458.9025075883 ,3836595.5353078311, -6.483476, 8.814716 , -10.870625
11986461.9498986360 ,3836594.9256200064, -6.481193, 8.686362 , -10.713680
11986464.9597470127 ,3836594.3150563017, -6.474827, 8.477875 , -10.469573
11986467.9165381268 ,3836593.7214693674, -6.478583, 8.351356 , -10.499051
11986470.8118385263 ,3836593.1586703993, -6.491485, 8.296515 , -10.617712
11986473.6555351857 ,3836592.5963867628, -6.488865, 8.233223 , -10.550079
11986476.4295688923 ,3836592.0120745343, -6.488956, 8.073183 , -10.285048
11986479.1717235260 ,3836591.4396854215, -6.499250, 7.867804 , -10.139982
11986481.8697888199 ,3836590.8765284978, -6.529055, 7.899530 , -10.535904
11986484.5127482768 ,3836590.2980043879, -6.512165, 7.836374 , -10.320728
11986487.0424275659 ,3836589.6674648300, -6.529177, 7.871264 , -10.529202
11986489.6043903306 ,3836589.0680756341, -6.541544, 7.868402 , -10.461639
11986492.1498151496 ,3836588.4313666266, -6.551108, 7.898597 , -10.552382
11986494.6776634809 ,3836587.7652803105, -6.523944, 7.948807 , -10.606690
11986497.1397652347 ,3836587.0907956851, -6.509191, 7.950984 , -10.501388
11986499.6513466686 ,3836586.4704660522, -6.488360, 7.949557 , -10.480106
11986502.1689393204 ,3836585.8893482117, -6.452087, 7.968098 , -10.497323
11986504.6745200288 ,3836585.3650183873, -6.450476, 8.120352 , -10.782082
11986507.2657898348 ,3836584.9178237659, -6.409623, 8.034533 , -10.307336
11986509.8438247479 ,3836584.4819022529, -6.425098, 8.214099 , -10.887665
11986512.5250866879 ,3836584.1349973427, -6.388346, 8.288815 , -10.690261
11986515.1729164980 ,3836583.7584461062, -6.352860, 8.210003 , -10.337578
11986517.8735934570 ,3836583.4683813192, -6.363482, 8.268825 , -10.625589
11986520.6553088464 ,3836583.2686126800, -6.342875, 8.312751 , -10.611702
11986523.4122428689 ,3836583.0479669510, -6.343485, 8.413164 , -10.752476
11986526.2254126482 ,3836582.8768115640, -6.317925, 8.440048 , -10.631991
11986529.0402851831 ,3836582.7067837599, -6.333066, 8.572039 , -10.868670
11986531.9405426346 ,3836582.6019617063, -6.317037, 8.628463 , -10.742812
11986534.8474166635 ,3836582.4589402513, -6.313881, 8.644079 , -10.719830
11986537.8093570787 ,3836582.3562228163, -6.291882, 8.551010 , -10.473164
11986540.7672372553 ,3836582.2647772515, -6.296758, 8.553799 , -10.632859
11986543.7430159245 ,3836582.2353545595, -6.289601, 8.551314 , -10.614855
11986546.7018991318 ,3836582.1957653402, -6.287220, 8.539665 , -10.587688
11986549.6651282497 ,3836582.1756543051, -6.286021, 8.527933 , -10.579751
11986552.6269332897 ,3836582.1632701224, -6.272896, 8.441242 , -10.398408
11986555.5691252146 ,3836582.1547149722, -6.284827, 8.375595 , -10.416665
11986558.5168470722 ,3836582.1829448496, -6.298518, 8.318618 , -10.388899
11986561.4406322036 ,3836582.1799302241, -6.322259, 8.297832 , -10.456089
11986564.3509255126 ,3836582.1375775561, -6.371009, 8.261027 , -10.450296
11986567.2781329993 ,3836582.0271401685, -6.398401, 8.279309 , -10.587882
11986570.1497979239 ,3836581.7822385086, -6.418591, 8.208964 , -10.419191
11986572.9965974391 ,3836581.4574784581, -6.471383, 8.285166 , -10.754236
11986563.5388247501 ,3836584.4462626344, -6.508461, 8.289626 , -10.647097
11986566.3658349868 ,3836583.9166170959, -6.561635, 8.287415 , -10.711424
11986569.1939293500 ,3836583.2751335860, -6.612913, 8.292512 , -10.781929
11986571.9788000807 ,3836582.4883163213, -6.671850, 8.376318 , -11.023042
11986574.7269363534 ,3836581.5571886767, -6.707101, 8.301389 , -10.755642
11986577.3968736418 ,3836580.4744990636, -6.757054, 8.364058 , -11.078023
11986580.0253318213 ,3836579.2950664349, -6.787766, 8.392344 , -11.069119
11986582.5706653260 ,3836577.9989071260, -6.813434, 8.303153 , -10.850874
11986585.0679622404 ,3836576.6256786468, -6.853176, 8.318542 , -11.081697
11986587.5246571191 ,3836575.1904269955, -6.840783, 8.222150 , -10.850456
11986589.8369999602 ,3836573.7154155998, -6.829335, 8.356949 , -11.356896
11986592.1291537061 ,3836572.2843408179, -6.864499, 8.446772 , -11.213706
